sequence,drummer,session,id,style,midi_filename,audio_filename,bpm,split,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15
10,drummer1,drummer1/session1,drummer1/session1/1,funk,drummer1/session1/1_funk_80_beat_4-4.mid,drummer1/session1/1_funk_80_beat_4-4.wav,80,train,2.1550317,2.1550317,2.1550317,2.1550317,2.1550317,2.1550317,2.1550317,2.1550317,2.1550317,2.1550317,2.026112,1.1921349,1.0,1.0766724,1.1107401,1.0920029
12,drummer1,drummer1/session1,drummer1/session1/100,neworleans/secondline,drummer1/session1/100_neworleans-secondline_94_beat_4-4.mid,drummer1/session1/100_neworleans-secondline_94_beat_4-4.wav,94,train,2.412325,2.4122326,2.4121478,2.4193926,2.425028,2.425028,2.425028,1.0737097,1.0465034,1.4582566,1.3267016,1.3768737,1.0,1.0660311,1.107525,1.240832
13,drummer1,drummer1/session1,drummer1/session1/101,dance/disco,drummer1/session1/101_dance-disco_120_beat_4-4.mid,drummer1/session1/101_dance-disco_120_beat_4-4.wav,120,train,1.0,2.533441,3.612786,4.8990545,3.7451823,5.1079125,4.1548543,5.522246,4.039942,2.6852179,4.2477965,5.4565835,5.4285808,4.3518066,6.3208637,6.1757755
14,drummer1,drummer1/session1,drummer1/session1/102,funk,drummer1/session1/102_funk_95_beat_4-4.mid,drummer1/session1/102_funk_95_beat_4-4.wav,95,train,9.031735,9.031735,9.031735,9.031735,9.031735,9.031735,9.031735,9.031735,8.827556,8.5558405,2.3422942,1.0,2.802439,4.7951593,5.9445424,3.7437835
40,drummer1,drummer1/session1,drummer1/session1/126,funk/fast,drummer1/session1/126_funk-fast_125_beat_4-4.mid,drummer1/session1/126_funk-fast_125_beat_4-4.wav,125,validation,25.342575,25.246286,25.203354,24.249115,15.747321,18.971403,10.567805,5.6014237,1.0,4.875167,9.365671,12.98695,6.951551,9.353322,11.048857,15.422371
61,drummer1,drummer1/session1,drummer1/session1/145,latin/brazilian-baiao,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.mid,drummer1/session1/145_latin-brazilian-baiao_95_beat_4-4.wav,95,validation,2.2921078,1.7870317,2.4784148,2.023714,1.0,1.9724451,1.6421893,2.3849096,1.707017,1.7588615,2.0137355,2.427719,1.352525,1.4512532,1.903808,1.9482733
62,drummer1,drummer1/session1,drummer1/session1/146,latin/brazilian-baiao,drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.mid,drummer1/session1/146_latin-brazilian-baiao_95_beat_4-4.wav,95,train,3.8332374,3.8333535,3.846133,3.8472178,3.8472178,3.8472178,3.8472178,3.8472178,3.8472178,3.627705,3.7546732,3.6366608,1.0,2.4495606,1.9601232,2.7831452
95,drummer1,drummer1/session1,drummer1/session1/176,afrocuban,drummer1/session1/176_afrocuban_105_beat_4-4.mid,drummer1/session1/176_afrocuban_105_beat_4-4.wav,105,train,1.0,1.6824931,1.5913903,1.4536071,1.8908548,1.6217437,1.4577208,1.8794425,1.7320426,1.6084063,1.9828993,1.4715123,2.0565093,1.86378,1.7229031,2.150473
103,drummer1,drummer1/session1,drummer1/session1/183,afrocuban,drummer1/session1/183_afrocuban_105_beat_4-4.mid,drummer1/session1/183_afrocuban_105_beat_4-4.wav,105,train,1.5011319,1.4892185,1.5799123,1.7569363,1.5288173,1.0,1.5078039,1.9607861,1.7397999,1.6063113,1.541071,1.6340461,1.4702175,1.6351832,1.5819657,1.8500654
104,drummer1,drummer1/session1,drummer1/session1/184,reggae,drummer1/session1/184_reggae_78_beat_4-4.mid,drummer1/session1/184_reggae_78_beat_4-4.wav,78,train,4.220983,4.220983,4.220983,4.220983,4.220983,4.220983,4.220983,4.220983,4.220983,4.220983,4.220983,2.941361,2.0225382,3.6850715,1.0,1.9224876
121,drummer1,drummer1/session1,drummer1/session1/2,funk,drummer1/session1/2_funk_80_beat_4-4.mid,drummer1/session1/2_funk_80_beat_4-4.wav,80,validation,2.2334652,2.2334652,2.2334652,2.2334652,2.2334652,2.2334652,2.2334652,2.2334652,2.2334652,2.2334652,1.5452851,1.1192129,1.121591,1.0,1.3020526,1.4424273
124,drummer1,drummer1/session1,drummer1/session1/201,reggae/slow,drummer1/session1/201_reggae-slow_64_beat_4-4.mid,drummer1/session1/201_reggae-slow_64_beat_4-4.wav,64,train,6.7513957,6.7513957,6.7513957,6.7513957,6.7513957,6.7513957,6.7513957,6.7513957,6.7513957,6.733588,6.409643,6.1828513,1.0,3.6629865,6.2557383,6.3189564
125,drummer1,drummer1/session1,drummer1/session1/202,rock/halftime,drummer1/session1/202_rock-halftime_140_beat_4-4.mid,drummer1/session1/202_rock-halftime_140_beat_4-4.wav,140,train,8.173721,8.173721,8.173721,8.173721,8.173721,8.173721,8.173721,8.173721,1.1417017,1.0,2.29536,3.7162998,5.1926136,6.9423504,7.929061,8.137256
165,drummer1,drummer1/session1,drummer1/session1/239,funk/purdieshuffle,drummer1/session1/239_funk-purdieshuffle_130_beat_4-4.mid,drummer1/session1/239_funk-purdieshuffle_130_beat_4-4.wav,130,test,10.10259,10.654855,8.754941,5.441872,1.3109407,3.2984474,3.1628897,2.4178925,1.0,3.0836074,4.498534,6.4353366,3.1875448,4.7623754,6.8229113,7.2684093
199,drummer1,drummer1/session1,drummer1/session1/28,latin/samba,drummer1/session1/28_latin-samba_116_beat_4-4.mid,drummer1/session1/28_latin-samba_116_beat_4-4.wav,116,test,2.2466576,2.2926025,2.304709,2.3367598,2.3688207,2.3885698,2.4180338,2.4304214,2.4421475,2.4595885,2.4832895,2.1803105,1.0,1.4653014,1.7608209,1.7841388
201,drummer1,drummer1/session1,drummer1/session1/3,funk,drummer1/session1/3_funk_80_beat_4-4.mid,drummer1/session1/3_funk_80_beat_4-4.wav,80,train,3.9367673,3.9367673,3.9367673,3.9367673,3.9367673,3.9367673,3.9367673,3.9367673,3.9367673,2.2550468,2.3376026,1.9514138,1.0,1.8556781,2.5740879,3.030421
210,drummer1,drummer1/session1,drummer1/session1/38,latin/samba,drummer1/session1/38_latin-samba_116_beat_4-4.mid,drummer1/session1/38_latin-samba_116_beat_4-4.wav,116,validation,1.3664354,1.3178825,1.3913838,1.2149043,1.2847576,1.2183832,1.2303121,1.2544976,1.3121614,1.0520204,1.0,1.2003516,1.3328505,1.218353,1.3038974,1.1511551
212,drummer1,drummer1/session1,drummer1/session1/4,jazz/funk,drummer1/session1/4_jazz-funk_116_beat_4-4.mid,drummer1/session1/4_jazz-funk_116_beat_4-4.wav,116,test,3.6634963,3.6634963,3.6634963,3.6634963,3.6634963,3.6634963,3.6634963,3.2955031,3.3385782,3.6447294,2.6121228,1.0896031,1.0,1.6174364,2.198037,2.144483
220,drummer1,drummer1/session1,drummer1/session1/47,jazz,drummer1/session1/47_jazz_102_beat_4-4.mid,drummer1/session1/47_jazz_102_beat_4-4.wav,102,train,2.063261,2.063261,2.063261,2.063261,2.063261,2.063261,1.8343867,1.9025545,1.811803,1.8467379,1.2907864,1.1227608,1.0865641,1.0,1.4017267,1.5443455
221,drummer1,drummer1/session1,drummer1/session1/48,jazz,drummer1/session1/48_jazz_93_beat_4-4.mid,drummer1/session1/48_jazz_93_beat_4-4.wav,93,train,3.1897614,3.1897614,3.1897614,3.1897614,3.1897614,3.1897614,3.1897614,1.0,1.6122923,2.5573041,2.976349,1.4389923,1.3706355,1.647525,2.2298818,2.3717568
222,drummer1,drummer1/session1,drummer1/session1/49,jazz,drummer1/session1/49_jazz_125_beat_4-4.mid,drummer1/session1/49_jazz_125_beat_4-4.wav,125,train,3.2238147,3.2238147,3.2238147,3.2238147,3.2238147,3.2238147,3.2238147,3.2238147,3.2238147,3.2238147,2.6283455,1.0,1.6823132,2.4574778,2.3282497,1.4007655
223,drummer1,drummer1/session1,drummer1/session1/5,jazz/funk,drummer1/session1/5_jazz-funk_116_beat_4-4.mid,drummer1/session1/5_jazz-funk_116_beat_4-4.wav,116,train,4.2669687,4.2669687,4.2669687,4.2669687,4.2669687,4.231273,3.889495,4.254379,1.0,1.8912889,2.613893,1.5543154,1.3056834,1.8213527,2.308707,3.033662
224,drummer1,drummer1/session1,drummer1/session1/50,jazz,drummer1/session1/50_jazz_125_beat_4-4.mid,drummer1/session1/50_jazz_125_beat_4-4.wav,125,train,1.127151,1.588562,1.3751988,1.0373682,1.0,1.2677503,1.4585087,1.5417385,1.0586002,1.5259979,1.6572809,1.2431877,1.048633,1.3927916,1.6552856,1.702127
225,drummer1,drummer1/session1,drummer1/session1/51,rock/shuffle,drummer1/session1/51_rock-shuffle_125_beat_4-4.mid,drummer1/session1/51_rock-shuffle_125_beat_4-4.wav,125,train,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,4.5028667,1.9439272,1.0,1.8169793,2.5297344,2.8721664
226,drummer1,drummer1/session1,drummer1/session1/52,jazz,drummer1/session1/52_jazz_125_beat_4-4.mid,drummer1/session1/52_jazz_125_beat_4-4.wav,125,train,1.0635206,1.1933078,1.2710863,1.0,1.0841261,1.2103183,1.296498,1.2366786,1.0405434,1.2302885,1.310597,1.185057,1.0953144,1.2731272,1.3500775,1.4151537
251,drummer1,drummer1/session1,drummer1/session1/75,jazz,drummer1/session1/75_jazz_125_beat_4-4.mid,drummer1/session1/75_jazz_125_beat_4-4.wav,125,train,1.0,1.7490313,2.3226788,2.1162648,2.3048685,2.793255,1.7030847,1.134707,1.7473598,2.1850443,2.1734903,1.6696272,2.127446,2.6526356,2.2241793,1.9472326
252,drummer1,drummer1/session1,drummer1/session1/76,jazz/mediumfast,drummer1/session1/76_jazz-mediumfast_180_beat_4-4.mid,drummer1/session1/76_jazz-mediumfast_180_beat_4-4.wav,180,train,1.5429294,1.5518348,1.0861882,1.3061785,1.2414018,1.0640374,1.0862855,1.2527682,1.3166621,1.372275,1.0,1.2513657,1.2967057,1.1900535,1.1152631,1.2596346
253,drummer1,drummer1/session1,drummer1/session1/77,jazz/mediumfast,drummer1/session1/77_jazz-mediumfast_180_beat_4-4.mid,drummer1/session1/77_jazz-mediumfast_180_beat_4-4.wav,180,train,2.4816084,2.4819643,2.481522,2.0626583,1.7647495,2.293001,2.4463718,2.478363,2.4817889,2.4820092,2.4817405,1.8391267,1.8167524,2.289396,2.1099117,1.0
254,drummer1,drummer1/session1,drummer1/session1/78,jazz/fast,drummer1/session1/78_jazz-fast_290_beat_4-4.mid,drummer1/session1/78_jazz-fast_290_beat_4-4.wav,290,train,1.4887346,1.4891459,1.489233,1.4891243,1.0,1.1108037,1.3559365,1.4347017,1.4713497,1.4841373,1.4881575,1.489153,1.3967354,1.2565376,1.4438664,1.4808612
255,drummer1,drummer1/session1,drummer1/session1/79,latin/reggaeton,drummer1/session1/79_latin-reggaeton_90_beat_4-4.mid,drummer1/session1/79_latin-reggaeton_90_beat_4-4.wav,90,train,3.8628566,3.8628566,3.8628566,3.8628566,3.8628566,3.8628566,3.8628566,3.8628566,3.8628566,3.8628566,3.6785438,1.2664142,1.9189835,3.0146594,1.0,2.4974053
257,drummer1,drummer1/session1,drummer1/session1/80,dance/breakbeat,drummer1/session1/80_dance-breakbeat_170_beat_4-4.mid,drummer1/session1/80_dance-breakbeat_170_beat_4-4.wav,170,train,1.8629243,1.8641092,1.8651836,1.8644631,1.8661215,1.8725345,1.8728547,1.8728547,1.8728547,1.8728547,1.8728547,1.8083403,1.0,1.5380268,1.7590494,1.8513548
258,drummer1,drummer1/session1,drummer1/session1/81,dance/breakbeat,drummer1/session1/81_dance-breakbeat_170_beat_4-4.mid,drummer1/session1/81_dance-breakbeat_170_beat_4-4.wav,170,train,1.1716077,1.6663901,2.1144445,2.4272149,2.0051157,1.8356785,1.0,1.3669791,1.7277681,2.0875812,2.4874384,2.753093,2.6860428,1.5892191,1.7427073,2.1494336
259,drummer1,drummer1/session1,drummer1/session1/82,neworleans/funk,drummer1/session1/82_neworleans-funk_84_beat_4-4.mid,drummer1/session1/82_neworleans-funk_84_beat_4-4.wav,84,train,5.834454,5.834454,5.834454,5.834454,1.596145,3.1553617,4.3435016,5.101228,2.479291,3.320179,2.8351052,3.3577063,4.979199,3.1497068,1.0,1.7527987
278,drummer1,drummer1/session2,drummer1/session2/1,latin/chacarera,drummer1/session2/1_latin-chacarera_157_beat_3-4.mid,drummer1/session2/1_latin-chacarera_157_beat_3-4.wav,157,validation,1.3134811,1.9832442,2.4638364,2.1019099,1.2310894,1.6066427,1.0,1.4889259,1.0928802,1.663573,2.0482757,1.9174689,1.1151756,1.8318417,2.1683028,2.4761684
279,drummer1,drummer1/session2,drummer1/session2/10,country,drummer1/session2/10_country_114_beat_4-4.mid,drummer1/session2/10_country_114_beat_4-4.wav,114,train,1.0141927,1.4577577,1.6025063,1.8275359,1.0,1.4550493,1.481231,1.7279555,1.0541284,1.4998378,1.4859782,1.6661582,1.0692725,1.5410358,1.47552,1.6886241
291,drummer1,drummer1/session2,drummer1/session2/110,rock/prog,drummer1/session2/110_rock-prog_190_beat_4-4.mid,drummer1/session2/110_rock-prog_190_beat_4-4.wav,190,test,4.6958838,4.6958838,4.6958838,4.6958838,4.6958838,4.6958838,4.6958838,4.6958838,3.7282195,1.0,1.7260242,2.3823552,2.9143069,3.4466405,3.826012,4.1784525
292,drummer1,drummer1/session2,drummer1/session2/111,rock/prog,drummer1/session2/111_rock-prog_110_beat_5-4.mid,drummer1/session2/111_rock-prog_110_beat_5-4.wav,110,train,1.9708176,1.0,1.7283963,2.0958958,1.7240008,2.0462472,1.7237363,1.9072936,1.6605176,1.8241825,1.8951626,1.459005,1.050528,1.5738882,1.8232442,1.7923654
293,drummer1,drummer1/session2,drummer1/session2/112,afrocuban/bembe,drummer1/session2/112_afrocuban-bembe_122_beat_4-4.mid,drummer1/session2/112_afrocuban-bembe_122_beat_4-4.wav,122,train,2.9982326,3.0007572,3.0007572,3.0007572,3.0007572,3.0007572,3.0007572,3.0007572,3.0007572,3.0007572,3.0007572,1.0,1.1314,1.3417249,1.9916551,2.4823678
326,drummer1,drummer1/session2,drummer1/session2/142,gospel,drummer1/session2/142_gospel_120_beat_4-4.mid,drummer1/session2/142_gospel_120_beat_4-4.wav,120,validation,3.450729,3.450729,3.450729,3.450729,3.450729,3.450729,3.450729,3.450729,3.450729,3.450729,3.450729,3.336691,2.2313416,1.0,1.2963544,1.688155
347,drummer1,drummer1/session2,drummer1/session2/161,afrocuban/rhumba,drummer1/session2/161_afrocuban-rhumba_110_beat_4-4.mid,drummer1/session2/161_afrocuban-rhumba_110_beat_4-4.wav,110,train,1.1989441,1.5528988,1.1112162,1.0543423,1.1154644,1.7694546,1.0700687,1.0,1.5397336,1.0368091,1.5709194,1.3387655,1.1097974,1.3872055,1.4317756,1.3918465
368,drummer1,drummer1/session2,drummer1/session2/180,rock,drummer1/session2/180_rock_50_beat_4-4.mid,drummer1/session2/180_rock_50_beat_4-4.wav,50,train,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.9568504,1.0,1.2408218,1.4623469,1.3100675
369,drummer1,drummer1/session2,drummer1/session2/181,rock,drummer1/session2/181_rock_115_beat_4-4.mid,drummer1/session2/181_rock_115_beat_4-4.wav,115,train,3.51894,3.51894,3.51894,3.51894,3.51894,3.51894,3.51894,2.8431525,1.3772416,1.0344362,1.705084,2.21665,1.2043991,1.0,1.6795915,2.1087635
388,drummer1,drummer1/session2,drummer1/session2/2,latin/chacarera,drummer1/session2/2_latin-chacarera_118_beat_4-4.mid,drummer1/session2/2_latin-chacarera_118_beat_4-4.wav,118,train,1.0,1.6563154,1.7671738,2.0147252,1.3199868,1.6002649,2.1178324,2.2848866,1.2295943,2.0468395,2.174418,2.1026366,1.1652333,1.6206051,2.1913671,2.4215636
399,drummer1,drummer1/session2,drummer1/session2/3,latin/chacarera,drummer1/session2/3_latin-chacarera_118_beat_4-4.mid,drummer1/session2/3_latin-chacarera_118_beat_4-4.wav,118,train,1.9488922,1.9488922,1.9488922,1.3113323,1.1523184,1.6380559,1.3622833,1.2422764,1.0,1.1822345,1.609887,1.329157,1.150925,1.6070035,1.224521,1.3052405
402,drummer1,drummer1/session2,drummer1/session2/32,punk,drummer1/session2/32_punk_140_beat_4-4.mid,drummer1/session2/32_punk_140_beat_4-4.wav,140,train,2.1733634,2.519638,2.5972404,2.2229981,2.1919048,2.49597,2.5840306,2.565562,2.0320961,1.5648694,1.3982519,1.4227533,1.2115563,1.162076,1.0,1.5168312
403,drummer1,drummer1/session2,drummer1/session2/33,punk,drummer1/session2/33_punk_128_beat_4-4.mid,drummer1/session2/33_punk_128_beat_4-4.wav,128,train,1.2526551,1.2111526,1.0598321,1.3805605,1.3833386,1.4920979,1.2734697,1.5352279,1.4374778,1.300273,1.0,1.2954619,1.4280212,1.2901964,1.2397144,1.3615735
404,drummer1,drummer1/session2,drummer1/session2/34,punk,drummer1/session2/34_punk_128_beat_4-4.mid,drummer1/session2/34_punk_128_beat_4-4.wav,128,train,1.8066978,1.7152562,1.2002227,1.7828997,1.8503151,1.9991332,1.2651689,1.7123957,1.6987559,1.7118536,1.1432501,1.6695926,1.9009039,1.8805048,1.0,1.4661874
405,drummer1,drummer1/session2,drummer1/session2/35,punk,drummer1/session2/35_punk_128_beat_4-4.mid,drummer1/session2/35_punk_128_beat_4-4.wav,128,test,1.6048431,2.1148374,1.0,1.6652602,2.1678886,1.5475335,1.3258003,1.9541043,1.9647394,1.8805379,1.3402135,2.042259,2.16003,1.945947,1.3356147,1.740676
406,drummer1,drummer1/session2,drummer1/session2/36,punk,drummer1/session2/36_punk_128_beat_4-4.mid,drummer1/session2/36_punk_128_beat_4-4.wav,128,train,2.1374938,2.3726175,1.1151241,1.8932966,2.2817123,2.2137556,1.0,1.7271436,2.28188,2.0774953,1.3164034,1.9066627,2.414444,2.0479279,1.0603585,1.8534292
407,drummer1,drummer1/session2,drummer1/session2/37,punk,drummer1/session2/37_punk_128_beat_4-4.mid,drummer1/session2/37_punk_128_beat_4-4.wav,128,train,1.3658025,2.1799254,2.3736398,2.5321314,2.478365,1.3407084,2.0141072,2.6842754,2.5277455,1.9233563,1.3732586,1.1485277,1.2683334,1.1825207,1.1563351,1.0
410,drummer1,drummer1/session2,drummer1/session2/4,jazz,drummer1/session2/4_jazz_120_beat_3-4.mid,drummer1/session2/4_jazz_120_beat_3-4.wav,120,train,2.1213758,2.129482,2.1291597,2.0791361,1.6287594,1.395846,1.3391837,1.3438779,1.0,1.0655566,1.2831106,1.4023013,1.1118828,1.1653821,1.2993982,1.402163
421,drummer1,drummer1/session2,drummer1/session2/5,jazz,drummer1/session2/5_jazz_200_beat_3-4.mid,drummer1/session2/5_jazz_200_beat_3-4.wav,200,train,1.0,1.5571476,2.032053,2.5070887,1.6530734,1.9904002,2.4341838,2.7706094,1.5674815,1.7323956,2.1485476,2.4660487,1.8462812,1.4936656,1.8182989,1.9746795
432,drummer1,drummer1/session2,drummer1/session2/6,rock,drummer1/session2/6_rock_102_beat_3-4.mid,drummer1/session2/6_rock_102_beat_3-4.wav,102,train,3.0576313,3.0576313,3.0576313,3.0576313,3.0576313,3.0576313,3.0576313,1.4161806,1.0,1.4644834,2.1843257,2.455299,1.5837352,1.8413664,2.250952,2.1540394
435,drummer1,drummer1/session2,drummer1/session2/62,punk,drummer1/session2/62_punk_144_beat_4-4.mid,drummer1/session2/62_punk_144_beat_4-4.wav,144,validation,3.1589103,3.1589103,3.1589103,3.1589103,3.1589103,3.1589103,3.1589103,3.1589103,3.1589103,3.1589103,1.2507963,1.1159493,1.0,1.685527,2.2267938,1.8310297
443,drummer1,drummer1/session2,drummer1/session2/7,jazz/march,drummer1/session2/7_jazz-march_88_beat_4-4.mid,drummer1/session2/7_jazz-march_88_beat_4-4.wav,88,train,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.9617996,1.8409494,1.4948517,1.0,1.1647947
454,drummer1,drummer1/session2,drummer1/session2/8,jazz/march,drummer1/session2/8_jazz-march_176_beat_4-4.mid,drummer1/session2/8_jazz-march_176_beat_4-4.wav,176,train,1.0,1.4197744,1.764259,1.9346522,1.5262958,1.575031,1.3889686,1.4344835,1.0725186,1.5249667,1.8637161,2.050756,1.3876032,1.8073889,2.0509195,2.1379883
465,drummer1,drummer1/session2,drummer1/session2/9,jazz/march,drummer1/session2/9_jazz-march_120_beat_4-4.mid,drummer1/session2/9_jazz-march_120_beat_4-4.wav,120,train,1.0389018,1.5400296,1.5858414,1.5667377,1.0,1.3419641,1.5245957,1.5301869,1.2679899,1.3699887,1.6159391,1.5264221,1.6151304,1.6160618,1.5667868,1.5443292
466,drummer1,drummer1/session2,drummer1/session2/90,funk/rock,drummer1/session2/90_funk-rock_92_beat_4-4.mid,drummer1/session2/90_funk-rock_92_beat_4-4.wav,92,train,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.8974397,2.574338,1.0,1.7393668,1.6274749,1.0497012
476,drummer1,drummer1/session3,drummer1/session3/1,rock/prog,drummer1/session3/1_rock-prog_125_beat_4-4.mid,drummer1/session3/1_rock-prog_125_beat_4-4.wav,125,train,3.4738925,4.314248,4.433626,4.0249825,3.2030144,4.2498593,4.42781,4.292064,3.0886734,4.2282476,3.8097076,1.174216,1.0,2.1199315,3.0051682,3.5586462
477,drummer1,drummer1/session3,drummer1/session3/10,rock/folk,drummer1/session3/10_rock-folk_90_beat_4-4.mid,drummer1/session3/10_rock-folk_90_beat_4-4.wav,90,train,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.8493528,1.4823403,1.2695621,1.0,1.5176477
478,drummer1,drummer1/session3,drummer1/session3/11,afrobeat,drummer1/session3/11_afrobeat_94_beat_4-4.mid,drummer1/session3/11_afrobeat_94_beat_4-4.wav,94,train,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,3.0386724,2.3046715,1.0,1.2064694,1.9568839
479,drummer1,drummer1/session3,drummer1/session3/12,latin/bomba,drummer1/session3/12_latin-bomba_96_beat_4-4.mid,drummer1/session3/12_latin-bomba_96_beat_4-4.wav,96,validation,2.8239589,3.4714987,3.5187764,3.189786,2.7662408,3.4672213,3.4381998,1.5386055,1.2229705,2.499024,3.3045194,3.3359942,1.0,2.3004317,2.1529078,1.348658
480,drummer1,drummer1/session3,drummer1/session3/13,rock,drummer1/session3/13_rock_115_beat_4-4.mid,drummer1/session3/13_rock_115_beat_4-4.wav,115,validation,1.0509669,1.9307066,1.9800328,2.6616082,1.0,1.9384087,1.9273925,2.5619204,1.1093835,1.9243562,1.9161086,2.5297182,1.0381392,1.807238,1.9423054,2.5259566
481,drummer1,drummer1/session3,drummer1/session3/14,rock,drummer1/session3/14_rock_94_beat_4-4.mid,drummer1/session3/14_rock_94_beat_4-4.wav,94,train,2.240041,3.886536,1.9702768,3.683903,1.0255785,1.7946576,3.079222,4.0173273,2.7624779,3.091952,2.8767846,2.8707623,3.024381,1.0,2.4135566,3.5626585
482,drummer1,drummer1/session3,drummer1/session3/15,funk,drummer1/session3/15_funk_117_beat_4-4.mid,drummer1/session3/15_funk_117_beat_4-4.wav,117,validation,1.3821892,1.0712284,1.5213913,1.7375727,1.4921404,1.1765522,1.6326402,1.7621393,1.5356257,1.0,1.5430721,1.6902282,1.6666136,1.1512758,1.6463364,1.6885278
